time,r,inflation,unemployment
1999-01-01,4.5,0.8,9.9
1999-02-01,4.5,0.8,9.8
1999-03-01,4.5,1,9.8
1999-04-01,3.5,1.1,9.8
1999-05-01,3.5,1,9.7
1999-06-01,3.5,0.9,9.6
1999-07-01,3.5,1.1,9.5
1999-08-01,3.5,1.2,9.5
1999-09-01,3.5,1.2,9.4
1999-10-01,3.5,1.4,9.3
1999-11-01,4,1.5,9.3
1999-12-01,4,1.7,9.2
2000-01-01,4,1.9,9.1
2000-02-01,4.25,1.9,9.1
2000-03-01,4.5,1.9,9
2000-04-01,4.75,1.7,8.9
2000-05-01,4.75,1.7,8.8
2000-06-01,5.25,2.1,8.8
2000-07-01,5.25,2,8.7
2000-08-01,5.25,2,8.6
2000-09-01,5.5,2.5,8.5
2000-10-01,5.75,2.4,8.4
2000-11-01,5.75,2.5,8.4
2000-12-01,5.75,2.5,8.3
2001-01-01,5.75,2,8.2
2001-02-01,5.75,1.9,8.2
2001-03-01,5.75,2.2,8.1
2001-04-01,5.75,2.7,8.1
2001-05-01,5.5,3.1,8.1
2001-06-01,5.5,2.8,8.1
2001-07-01,5.5,2.6,8.1
2001-08-01,5.25,2.3,8.1
2001-09-01,4.75,2.2,8.1
2001-10-01,4.75,2.2,8.2
2001-11-01,4.25,2,8.2
2001-12-01,4.25,2,8.3
2002-01-01,4.25,2.6,8.2
2002-02-01,4.25,2.5,8.3
2002-03-01,4.25,2.5,8.3
2002-04-01,4.25,2.3,8.4
2002-05-01,4.25,2,8.5
2002-06-01,4.25,1.9,8.5
2002-07-01,4.25,2,8.6
2002-08-01,4.25,2.1,8.6
2002-09-01,4.25,2.1,8.7
2002-10-01,4.25,2.3,8.7
2002-11-01,4.25,2.3,8.8
2002-12-01,3.75,2.3,8.8
2003-01-01,3.75,2.1,8.9
2003-02-01,3.75,2.4,9
2003-03-01,3.5,2.5,9
2003-04-01,3.5,2.1,9
2003-05-01,3.5,1.8,9
2003-06-01,3,1.9,9.1
2003-07-01,3,1.9,9
2003-08-01,3,2.1,9
2003-09-01,3,2.2,9
2003-10-01,3,2,9
2003-11-01,3,2.2,9.1
2003-12-01,3,2,9.1
2004-01-01,3,1.9,9.2
2004-02-01,3,1.6,9.2
2004-03-01,3,1.7,9.2
2004-04-01,3,2,9.2
2004-05-01,3,2.5,9.2
2004-06-01,3,2.4,9.2
2004-07-01,3,2.3,9.3
2004-08-01,3,2.3,9.3
2004-09-01,3,2.1,9.3
2004-10-01,3,2.4,9.3
2004-11-01,3,2.2,9.4
2004-12-01,3,2.4,9.4
2005-01-01,3,1.9,9.3
2005-02-01,3,2.1,9.3
2005-03-01,3,2.1,9.3
2005-04-01,3,2.1,9.3
2005-05-01,3,2,9.2
2005-06-01,3,2.1,9.2
2005-07-01,3,2.2,9.2
2005-08-01,3,2.2,9.1
2005-09-01,3,2.6,9.1
2005-10-01,3,2.5,9.1
2005-11-01,3,2.3,9
2005-12-01,3.25,2.2,9
2006-01-01,3.5,2.4,8.9
2006-02-01,3.5,2.3,8.8
2006-03-01,3.5,2.2,8.7
2006-04-01,3.75,2.5,8.6
2006-05-01,3.75,2.5,8.6
2006-06-01,3.75,2.5,8.5
2006-07-01,4,2.4,8.4
2006-08-01,4,2.3,8.4
2006-09-01,4.25,1.7,8.3
2006-10-01,4.25,1.6,8.2
2006-11-01,4.5,1.9,8.1
2006-12-01,4.5,1.9,8
2007-01-01,4.75,1.8,7.9
2007-02-01,4.75,1.8,7.8
2007-03-01,4.75,1.9,7.7
2007-04-01,5,1.9,7.6
2007-05-01,5,1.9,7.6
2007-06-01,5,1.9,7.6
2007-07-01,5,1.8,7.6
2007-08-01,5,1.7,7.6
2007-09-01,5,2.1,7.5
2007-10-01,5,2.6,7.5
2007-11-01,5,3.1,7.4
2007-12-01,5,3.1,7.4
2008-01-01,5,3.2,7.4
2008-02-01,5,3.3,7.3
2008-03-01,5,3.6,7.3
2008-04-01,5,3.3,7.5
2008-05-01,5,3.7,7.5
2008-06-01,5,4,7.6
2008-07-01,5.25,4,7.6
2008-08-01,5.25,3.8,7.7
2008-09-01,5.25,3.6,7.7
2008-10-01,4.25,3.2,7.9
2008-11-01,3.75,2.1,8.1
2008-12-01,3,1.6,8.3
2009-01-01,3,1.1,8.7
2009-02-01,3,1.2,9
2009-03-01,2.5,0.6,9.3
2009-04-01,2.25,0.6,9.4
2009-05-01,1.75,0,9.5
2009-06-01,1.75,-0.1,9.6
2009-07-01,1.75,-0.6,9.8
2009-08-01,1.75,-0.2,9.8
2009-09-01,1.75,-0.3,9.9
2009-10-01,1.75,-0.1,10
2009-11-01,1.75,0.5,10
2009-12-01,1.75,0.9,10
2010-01-01,1.75,0.9,10.1
2010-02-01,1.75,0.8,10.1
2010-03-01,1.75,1.6,10.1
2010-04-01,1.75,1.6,10.2
2010-05-01,1.75,1.7,10.2
2010-06-01,1.75,1.5,10.1
2010-07-01,1.75,1.7,10.1
2010-08-01,1.75,1.6,10.2
2010-09-01,1.75,1.9,10.1
2010-10-01,1.75,1.9,10.2
2010-11-01,1.75,1.9,10.1
2010-12-01,1.75,2.2,10.1
2011-01-01,1.75,2.3,10
2011-02-01,1.75,2.4,9.9
2011-03-01,1.75,2.7,9.9
2011-04-01,2,2.8,9.8
2011-05-01,2,2.7,9.9
2011-06-01,2,2.7,10
2011-07-01,2.25,2.6,10.1
2011-08-01,2.25,2.5,10.2
2011-09-01,2.25,3,10.3
2011-10-01,2.25,3,10.4
2011-11-01,2,3,10.6
2011-12-01,1.75,2.7,10.7
2012-01-01,1.75,2.7,10.8
2012-02-01,1.75,2.7,10.9
2012-03-01,1.75,2.7,11
2012-04-01,1.75,2.6,11.2
2012-05-01,1.75,2.4,11.3
2012-06-01,1.75,2.4,11.4
2012-07-01,1.5,2.4,11.4
2012-08-01,1.5,2.6,11.5
2012-09-01,1.5,2.6,11.6
2012-10-01,1.5,2.5,11.7
2012-11-01,1.5,2.2,11.8
2012-12-01,1.5,2.2,11.9
2013-01-01,1.5,2,12
2013-02-01,1.5,1.8,12
2013-03-01,1.5,1.7,12
2013-04-01,1.5,1.2,12.1
2013-05-01,1,1.4,12.1
2013-06-01,1,1.6,12.1
2013-07-01,1,1.6,12.1
2013-08-01,1,1.3,12.1
2013-09-01,1,1.1,12.1
2013-10-01,1,0.7,12
2013-11-01,0.75,0.9,12
2013-12-01,0.75,0.8,12
